skills,is_hot_technology,id
adobe systems adobe acrobat,True,0
adsense tracker,False,1
atlassian jira,True,2
blackbaud the raiser's edge,True,3
computerease construction accounting,False,4
database reporting software,False,5
databox,False,6
email software,False,7
enterprise resource planning erp software,True,8
exact software macola es labor performance,False,9
extensible markup language xml,True,10
fund accounting software,True,11
graphic presentation software,False,12
halogen e360,False,13
halogen epraisal,False,14
hcss heavybid,False,15
hcss heavyjob,False,16
human resource information system hris,False,17
infor ssa human capital management,False,18
intuit quickbooks,True,19
listserv software,False,20
lyris hq web-analytics solution,False,21
microsoft access,True,22
microsoft dynamics ax,True,23
microsoft dynamics gp,True,24
microsoft excel,True,25
microsoft frx,False,26
microsoft office,True,27
microsoft outlook,True,28
microsoft powerpoint,True,29
microsoft project,True,30
microsoft publisher,False,31
microsoft sharepoint,True,32
microsoft word,True,33
nedstat sitestat,False,34
norchard solutions succession wizard,False,35
online advertising reporting software,False,36
oracle e-business suite,True,37
oracle peoplesoft,True,38
oracle siebel server sync,False,39
php: hypertext preprocessor,True,40
relational database management software,True,41
sage 50 accounting,False,42
sap,True,43
structured query language sql,True,44
web browser software,False,45
scheduling software,False,46
teleconferencing software,False,47
actionware,False,48
adobe systems adobe photoshop,True,49
adp workforce now,True,50
amg teleran salesinsync,False,51
apache hadoop,True,52
apple final cut pro,False,53
apple macos,True,54
autodesk autocad,True,55
avidian technologies prophet,False,56
blackboard,False,57
ca erwin data modeler,True,58
calendar and scheduling software,False,59
citrix,True,60
cnc mastercam,False,61
computer aided manufacturing cam software,False,62
confluence,True,63
customer information control system cics,True,64
data entry software,True,65
datawatch monarch,False,66
deacom erp,True,67
delphi technology,True,68
dynamic energy systems medact,False,69
facebook,True,70
filemaker pro,False,71
geographic information system gis software,True,72
google adwords,True,73
google analytics,True,74
google docs,True,75
google drive,True,76
heat software goldmine,False,77
human resource management software hrms,False,78
human resources software,False,79
ibm cognos impromptu,True,80
ibm domino,False,81
ibm infosphere datastage,True,82
ibm notes,True,83
ibm power systems software,False,84
ibm spss statistics,True,85
innquest software roommaster,False,86
inventory management software,False,87
job control language jcl,True,88
kronos workforce payroll,False,89
kronos workforce timekeeper,False,90
lexisnexis,False,91
linkedin,True,92
lsa visual easy lean,False,93
marketo marketing automation,True,94
maximizer software maximizer enterprise,False,95
mcafee,True,96
microsoft dynamics,True,97
microsoft exchange server,True,98
microsoft frontpage,False,99
microsoft internet explorer,False,100
microsoft sql server,True,101
microsoft visio,True,102
microsoft visual basic,True,103
microsoft windows,True,104
microstrategy,True,105
minitab,True,106
mozilla firefox,False,107
mozilla thunderbird,False,108
nagios,True,109
netsuite erp,True,110
netsuite netcrm,False,111
oracle business intelligence enterprise edition,True,112
oracle e-business suite financials,False,113
oracle eloqua,False,114
oracle fusion applications,True,115
oracle hyperion,True,116
oracle jd edwards enterpriseone,True,117
oracle peoplesoft financials,True,118
oracle primavera enterprise project portfolio management,True,119
oracle solaris,True,120
oracle taleo,True,121
payroll software,False,122
personnel scheduling software,False,123
point of sale pos software,False,124
postgresql,True,125
puppet,True,126
qlik tech qlikview,True,127
r,True,128
realization streamliner,False,129
sage act!,False,130
sage mas 500,False,131
salesforce software,True,132
salesforce.com salesforce crm,False,133
sap business objects,True,134
sap crystal reports,True,135
sas,True,136
savant mobileranger,False,137
seamonkey,False,138
shell script,True,139
siemens nx for manufacturing,False,140
software on sailboats desktop sales manager,False,141
splunk enterprise,True,142
statacorp stata,False,143
sugar crm,False,144
supervisory control and data acquisition scada software,True,145
symantec,True,146
tableau,True,147
tax software,True,148
teradata database,True,149
the mathworks matlab,True,150
vanguard software vanguard sales manager,False,151
veritas netbackup,False,152
vtiger crm,False,153
yardi,True,154
youtube,True,155
adobe systems adobe framemaker,False,156
antenna house,False,157
apple iwork keynote,False,158
apple numbers for mac,False,159
apple pages for mac,False,160
cisco anyconnect,False,161
cisco systems webex,False,162
citrix gotomeeting,False,163
corel wordperfect office suite,False,164
goodreader,False,165
iannotate,False,166
legislative automative workflow system laws,False,167
mapping software,False,168
meeting scheduling software,False,169
penultimate,False,170
ptc arbortext editor,False,171
rocket/folio nxt,False,172
windows media player,False,173
xmetal author,False,174
actuate birt,False,175
adobe systems adobe aftereffects,True,176
adobe systems adobe creative suite,False,177
adobe systems adobe dreamweaver,True,178
adobe systems adobe flash player,False,179
adobe systems adobe illustrator,True,180
adobe systems adobe indesign,True,181
adobe systems adobe pagemaker,False,182
adobe systems adobe premiere pro,False,183
adrelevance,False,184
apple imovie,False,185
avid media composer,False,186
brainworks,True,187
business analysis software,False,188
constant contact,False,189
customer relationship management crm software,False,190
data visualization software,False,191
data warehousing software,False,192
database software,False,193
experience in software webplanner,False,194
google doubleclick,False,195
ibm lotus notes,False,196
javascript,True,197
marketsharp,False,198
microsoft dynamics marketing,False,199
paloalto advertising plan pro,False,200
quark,False,201
relex weibull,False,202
structure query language sql,False,203
webtrends software,False,204
adobe systems adobe experience manager (aem),False,205
adobe systems adobe reader,False,206
computer aided software engineering case tools,False,207
drupal,True,208
hootsuite,False,209
hubspot software,False,210
hypertext markup language html,True,211
inventory tracking software,False,212
mailchimp,False,213
pinterest,False,214
social media software,False,215
software development tools,False,216
twitter,False,217
vimeo,False,218
webtrends analytics,False,219
wordpress,False,220
adobe systems adobe actionscript,False,221
adobe systems adobe creative cloud,True,222
adobe systems adobe fireworks,False,223
adobe systems adobe flash,False,224
aec software fasttrack,False,225
apache cassandra,True,226
apache hive,True,227
apache pig,True,228
apache solr,True,229
armand morin multitrack generator,False,230
aws redshift,True,231
c,True,232
cascading style sheets css,True,233
clearedge,False,234
dynamic hypertext markup language dhtml,False,235
elasticsearch,True,236
extensible hypertext markup language xhtml,False,237
github,True,238
lamp stack,False,239
microsoft azure,True,240
microsoft visual basic scripting edition vbscript,True,241
mysql,True,242
nosql,True,243
oracle beehive,False,244
oracle javaserver pages jsp,True,245
oracle pl/sql,True,246
python,True,247
qad marketing automation,False,248
ruby,True,249
ruby on rails,True,250
sage saleslogix,False,251
swift,True,252
bentley microstation,True,253
contact management software,False,254
delphi discovery,False,255
eclipse ide,True,256
eden sales manager,False,257
inventory software,False,258
sap businessobjects crystal reports,False,259
workforce management software,False,260
adobe systems adobe distiller,False,261
apple idvd,False,262
blackbaud etapestry,False,263
google gmail,False,264
instagram peoplemap,False,265
novell groupwise,False,266
quarkxpress,False,267
slack,False,268
smugmug flickr,True,269
zkipster,False,270
adp enterprise hrms,False,271
medical procedure coding software,True,272
microsoft windows xp,False,273
practiceworks systems kodak winoms cs,False,274
sage 300 construction and real estate,False,275
sage mas 200 erp,True,276
act! premium,False,277
adobe systems adobe flex,False,278
advanced business application programming abap,True,279
alpha four,False,280
apache http server,True,281
apache maven,True,282
apache tomcat,True,283
apple iwork numbers,False,284
apple iwork pages,False,285
assembler,False,286
backbone.js,True,287
billing software,False,288
borland paradox,False,289
c#,True,290
c++,True,291
cisco systems wan manager,False,292
common business oriented language cobol,True,293
corel office suite,False,294
dartware intermapper,False,295
embarcadero delphi,False,296
enterprise javabeans,True,297
file transfer protocol ftp software,False,298
firewall software,False,299
help desk software,False,300
hewlett packard hp-ux,False,301
ibm iseries access,False,302
ibm websphere,True,303
infor erp baan,True,304
integrated development environment ide software,True,305
k2 business process automation,False,306
kornshell,False,307
lan software,False,308
langlais computer consultants calman,False,309
linux,True,310
linux-based email software,False,311
mac helpmate,False,312
